,role,company_name,work_experience,location,skills,post_date
144,Data Engineer - Tableau,Tiger Analytics,0-4 Yrs,"Hyderabad, Chennai","['Performance tuning', 'tableau', 'Consulting', 'Database', 'Deployment', 'Silicon', 'Data analytics', 'Unit testing']",30+ Days Ago
145,Analyst III Business Process Transactions,DXC Technology,0-1 Yrs,Noida,"['Data analysis', 'PMP', 'Quality standards', 'Compliance', 'Process improvement', 'Social media', 'Business process management', 'Training and Development']",17 Days Ago
146,BUSINESS ANALYST-INSURANCE DOMAIN,Godigi Infotech,0-1 Yrs,New Delhi,"['Product management', 'Data analysis', 'Business Analyst', 'Project management', 'Analytical', 'Market research', 'Business operations', 'Testing']",30+ Days Ago
147,Data Scientist- Trainee,Business Toys,0-5 Yrs,Bengaluru,"['scientist trainee', 'Training', 'Data']",4 Days Ago
148,Data Scientist,Business Toys,0-3 Yrs,Bengaluru,['Data Scientist'],4 Days Ago
149,Business Analyst - Software,Firstsource Laboratory Solutions,0-4 Yrs,Hyderabad,"['communication skills written', 'data analysis', 'excellent verbal and written communication skills', 'written communication', 'writing', 'leadership skills', 'leadership', 'presentation skills']",Today
150,Data Scientist,Boss Staffing Solutions India,0-4 Yrs,Hyderabad,"['Data Management And Analysis', 'Analytics', 'Model Development', 'Testing Methodologies', 'Research And Development', 'Software testing', 'Management', 'Analysis']",2 Days Ago
151,Data Scientist,Data Collection Infotech,0-4 Yrs,Bengaluru,"['Logistic regression', 'Data analysis', 'Client servicing', 'Trend analysis', 'Data mining', 'Individual Contributor', 'SQL', 'Python']",30+ Days Ago
152,Data Scientist,Akaike Technologies,0-6 Yrs,Bengaluru,"['deep learning', 'Data analysis', 'GIT', 'Analytical', 'MySQL', 'Machine learning', 'data visualization', 'Data mining']",30+ Days Ago
153,Senior Data Engineer,Business Toys,0-2 Yrs,Patna,"['Senior Data Engineer', 'Data', 'Data Engineering', 'Senior']",4 Days Ago
154,Data Analytic | Business Analytics,Business Toys,0-4 Yrs,"Kolkata, Mumbai, Hyderabad, Ranchi, Chennai, Bengaluru","['Business analytics', 'Data analytics', 'Data', 'Analytics']",1 Day Ago
155,Junior Data Engineer,Business Toys,0-3 Yrs,Bengaluru,"['Junior Data Engineer', 'Data Engineering', 'Data']",4 Days Ago
156,Data Scientist,Business Toys,0-2 Yrs,Mumbai,['Data Scientist - Phd only'],4 Days Ago
157,Data Scientist,Business Toys,0-4 Yrs,Hyderabad,['Data Scientist'],4 Days Ago
158,Data Scientist,Business Toys,0-1 Yrs,Pune,['Data Scientist'],4 Days Ago
159,Python Data Scientist,Business Toys,0-1 Yrs,Remote,"['Python', 'Python Data', 'Data']",4 Days Ago
160,Data Scientist,Business Toys,0-5 Yrs,Remote,['Data Scientist'],4 Days Ago
161,data scientist,Business Toys,0-5 Yrs,Remote,"['Hiring data scientist / Work from Home / WFH For leading MNC', 'Leadership', 'Data', 'Hiring']",4 Days Ago
